                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8547,                 1.7896,                 1.5029,                0.40836,                0.47119,                0.30166,                0.14545,                 1.7146,                 3.4401,                 1.4998,             0.00065409,             0.00065409,             0.00065409
                      2,                 1.6631,                 1.2716,                 1.3654,                0.11928,                0.45319,                0.08042,                0.03122,                 2.1381,                 11.728,                 1.9256,              0.0013077,              0.0013077,              0.0013077
                      3,                 1.6679,                 1.2429,                 1.3701,                0.72336,                0.54424,                0.58608,                0.27698,                 2.0009,                 1.8893,                   1.85,              0.0019481,              0.0019481,              0.0019481
                      4,                 1.6579,                 1.2332,                  1.355,                0.08416,                0.59465,                0.06687,                0.03169,                 1.7423,                 7.9513,                  1.481,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6116,                 1.1831,                 1.3291,                0.80539,                0.62164,                0.67684,                0.35874,                 1.6653,                 1.1594,                 1.4623,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5643,                 1.1187,                 1.3107,                0.78052,                0.59568,                0.64939,                 0.3577,                 1.6231,                 1.1344,                 1.3965,               0.001901,               0.001901,               0.001901
                      7,                 1.5381,                 1.0708,                 1.2977,                 0.8433,                0.57582,                0.67692,                0.38017,                 1.5426,                 1.1123,                 1.3052,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5127,                 1.0583,                 1.2794,                0.80952,                0.60494,                0.68807,                0.38451,                 1.5893,                 1.1063,                 1.3721,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.509,                 1.0491,                 1.2774,                0.84971,                0.64043,                0.73073,                0.41587,                 1.5189,                0.97303,                 1.3182,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4729,                 1.0146,                 1.2618,                0.76883,                0.62959,                0.69738,                0.40034,                 1.5572,                 1.0122,                 1.3177,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4583,                 1.0054,                 1.2473,                0.85694,                0.64708,                0.71576,                0.41294,                 1.5041,                0.95796,                 1.2906,               0.001802,               0.001802,               0.001802
                     12,                 1.4243,                0.97059,                 1.2377,                0.83388,                0.64095,                0.72254,                 0.3914,                 1.6063,                0.97469,                 1.3306,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4279,                0.96139,                 1.2348,                0.86522,                0.68416,                0.76402,                0.45214,                 1.4444,                0.86364,                 1.2477,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4252,                0.94769,                 1.2268,                0.85073,                0.69084,                0.75881,                 0.4438,                 1.5033,                0.85393,                 1.2717,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4069,                0.94045,                 1.2231,                 0.8276,                0.67387,                0.74277,                0.44026,                 1.4571,                0.89318,                 1.2625,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3939,                 0.9236,                 1.2128,                0.85227,                0.63992,                0.72112,                0.42542,                 1.4978,                0.97089,                 1.2825,               0.001703,               0.001703,               0.001703
                     17,                 1.3912,                0.92304,                 1.2175,                0.82946,                0.66512,                0.74332,                0.43707,                 1.4409,                0.92076,                  1.263,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.367,                0.90537,                   1.21,                0.88667,                0.67078,                0.75342,                0.45886,                 1.4264,                0.83393,                 1.2263,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.363,                0.89569,                 1.1993,                0.88588,                0.69085,                0.77962,                0.48041,                 1.3858,                0.79964,                 1.2152,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3555,                0.88844,                 1.1929,                0.85732,                 0.6862,                0.76761,                0.46422,                 1.4115,                0.82685,                 1.2321,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3289,                0.87004,                 1.1862,                0.86935,                0.69487,                0.77496,                 0.4594,                  1.393,                0.79103,                 1.2341,               0.001604,               0.001604,               0.001604
                     22,                 1.3298,                0.86808,                  1.188,                0.88283,                0.70927,                0.78297,                0.47941,                 1.3893,                0.75747,                  1.213,              0.0015842,              0.0015842,              0.0015842
                     23,                  1.328,                0.85439,                 1.1846,                0.88506,                0.72377,                0.78837,                0.48489,                 1.3703,                0.77165,                 1.2089,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3113,                0.85496,                 1.1764,                0.86656,                 0.6965,                0.77445,                0.47377,                 1.3905,                0.78894,                 1.2187,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3067,                0.84485,                 1.1752,                0.87595,                0.68621,                0.76554,                 0.4629,                 1.4237,                0.77309,                 1.2362,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3062,                0.84806,                 1.1752,                0.86661,                 0.6951,                0.77294,                0.47574,                 1.3547,                0.78674,                 1.1981,               0.001505,               0.001505,               0.001505
                     27,                 1.3032,                0.82954,                 1.1671,                0.89229,                0.70315,                 0.7782,                0.48836,                 1.3526,                0.76036,                 1.1975,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.2983,                0.83215,                 1.1688,                0.86932,                0.70576,                0.78253,                0.48506,                 1.3619,                0.77177,                 1.1932,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2858,                0.82117,                 1.1614,                0.90645,                 0.7277,                0.79853,                0.49569,                 1.3298,                 0.7081,                 1.1775,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.2688,                0.82175,                 1.1601,                0.88991,                0.71142,                 0.7933,                0.49754,                  1.353,                0.75567,                 1.1942,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.2637,                0.79806,                 1.1541,                0.88719,                0.72891,                0.80435,                0.51029,                 1.2853,                0.70344,                 1.1757,               0.001406,               0.001406,               0.001406
                     32,                  1.258,                0.80118,                 1.1467,                0.89501,                0.71862,                0.79743,                0.51125,                 1.2748,                0.70529,                 1.1556,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2668,                0.79493,                 1.1578,                0.89986,                0.71605,                0.79931,                0.50706,                 1.3193,                0.69942,                 1.1823,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2349,                0.78621,                 1.1409,                 0.8763,                0.71786,                0.79331,                0.49851,                  1.309,                0.72096,                 1.1772,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2372,                0.77888,                 1.1414,                0.88836,                 0.7327,                0.80645,                0.51045,                   1.32,                0.69442,                 1.1936,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2422,                0.77439,                  1.143,                0.91182,                0.73045,                  0.813,                0.52258,                 1.2832,                0.67917,                  1.149,               0.001307,               0.001307,               0.001307
                     37,                 1.2391,                0.78135,                 1.1423,                0.89661,                0.71825,                0.80863,                0.51923,                 1.2636,                0.70006,                 1.1514,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2255,                0.78092,                 1.1389,                0.88626,                0.72737,                0.80413,                0.51138,                 1.2816,                0.72135,                 1.1625,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2163,                0.76102,                 1.1297,                0.89728,                0.71891,                0.80017,                0.51343,                 1.2699,                0.71907,                 1.1659,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2039,                0.74779,                 1.1249,                0.89733,                0.73733,                0.81211,                0.52939,                 1.2495,                0.65581,                  1.146,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2049,                0.75379,                 1.1243,                0.91128,                0.72891,                0.81487,                0.52718,                 1.2803,                 0.6645,                 1.1557,               0.001208,               0.001208,               0.001208
                     42,                 1.2037,                0.74787,                 1.1222,                0.89439,                 0.7356,                0.80611,                0.51735,                 1.2709,                0.67102,                 1.1661,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1876,                0.73908,                 1.1213,                0.90956,                0.73354,                0.81677,                 0.5387,                 1.2349,                0.64816,                 1.1402,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1877,                0.73631,                  1.117,                0.91648,                 0.7284,                0.81466,                0.53564,                 1.2455,                0.65338,                 1.1338,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.1721,                0.72472,                 1.1115,                0.86975,                0.74074,                0.80634,                0.52255,                 1.2692,                0.67737,                 1.1593,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1839,                0.73391,                 1.1196,                0.92974,                0.73354,                0.82326,                0.54436,                 1.2042,                0.63338,                 1.1295,               0.001109,               0.001109,               0.001109
                     47,                 1.1761,                0.72488,                 1.1162,                0.89367,                 0.7284,                 0.8057,                0.52231,                 1.2461,                0.67169,                 1.1443,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1623,                0.71456,                 1.1093,                0.91086,                0.73592,                0.81448,                 0.5383,                 1.2138,                0.65335,                 1.1274,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1614,                0.71077,                 1.1079,                0.90659,                0.74588,                0.82325,                0.54173,                 1.2197,                0.63094,                 1.1364,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1604,                0.71255,                 1.1087,                0.90191,                0.75203,                0.82428,                0.54547,                 1.2139,                0.64289,                 1.1303,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1432,                0.69542,                 1.1036,                0.90245,                0.74486,                0.82327,                0.54605,                 1.1849,                0.61273,                 1.1323,                0.00101,                0.00101,                0.00101
                     52,                 1.1353,                0.70084,                 1.1036,                0.90473,                0.75257,                0.82793,                0.54965,                  1.196,                0.61793,                 1.1262,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.1443,                0.69671,                 1.1008,                0.91645,                0.74331,                0.82225,                0.54577,                 1.2194,                0.62652,                 1.1257,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1286,                0.68805,                 1.0997,                0.90908,                0.75154,                0.82447,                0.55376,                 1.1769,                0.62687,                 1.1216,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1305,                0.68807,                 1.0938,                0.90896,                0.75206,                0.82773,                0.55862,                 1.1792,                0.60124,                 1.1157,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1237,                0.68074,                 1.0906,                0.90909,                0.75051,                0.82948,                0.55726,                 1.1887,                0.60576,                 1.1199,               0.000911,               0.000911,               0.000911
                     57,                 1.1303,                0.68406,                 1.0938,                0.90831,                0.76337,                0.83375,                 0.5577,                  1.189,                0.60942,                 1.1203,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1053,                0.67198,                 1.0834,                0.91642,                0.75154,                0.83056,                0.55453,                 1.1802,                0.60229,                 1.1173,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1029,                0.67036,                 1.0818,                0.91678,                 0.7644,                0.83329,                0.56182,                 1.1734,                0.58289,                 1.1134,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0977,                0.66701,                 1.0812,                0.90316,                0.76492,                0.83522,                0.56162,                 1.1712,                0.60151,                 1.1106,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0884,                0.65714,                 1.0812,                0.91536,                0.77058,                0.83926,                0.55954,                 1.1812,                0.59554,                 1.1229,               0.000812,               0.000812,               0.000812
                     62,                 1.0925,                 0.6518,                 1.0786,                0.91249,                0.76169,                0.83475,                0.56845,                 1.1705,                0.57771,                 1.1149,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0832,                0.64755,                 1.0737,                0.90096,                0.77677,                 0.8373,                0.56311,                 1.1831,                0.58087,                 1.1103,              0.0007724,              0.0007724,              0.0007724
                     64,                   1.09,                0.65673,                 1.0773,                0.91551,                0.76921,                0.83946,                0.57082,                 1.1558,                0.57009,                  1.105,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0851,                 0.6421,                 1.0791,                0.92435,                0.76646,                0.83946,                0.56642,                 1.1682,                0.57642,                 1.1087,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0739,                0.63743,                 1.0704,                0.90252,                0.78582,                0.84539,                0.57826,                  1.129,                0.55821,                 1.0901,               0.000713,               0.000713,               0.000713
                     67,                 1.0678,                0.64111,                 1.0708,                 0.8979,                0.78712,                0.84315,                0.58052,                 1.1242,                0.55729,                 1.0864,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0624,                0.63985,                 1.0708,                0.89787,                0.77932,                0.83759,                0.57834,                 1.1311,                0.55674,                 1.0933,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.0612,                0.62441,                   1.07,                0.90249,                0.78755,                0.84097,                0.57873,                 1.1345,                0.55112,                 1.1022,              0.0006536,              0.0006536,              0.0006536
