                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4847,                  1.043,                 1.2451,                0.83532,                0.68621,                0.74489,                0.42289,                 1.5254,                 0.9006,                 1.2552,             0.00065248,             0.00065248,             0.00065248
                      2,                 1.4913,                 1.0422,                 1.2471,                0.73944,                0.49779,                0.56362,                0.29939,                 1.7257,                 1.3268,                 1.3907,              0.0012865,              0.0012865,              0.0012865
                      3,                 1.5005,                 1.0628,                 1.2573,                0.76258,                0.53704,                0.58725,                0.30746,                 1.7719,                 1.4849,                 1.4576,              0.0018875,              0.0018875,              0.0018875
                      4,                 1.5296,                  1.078,                 1.2667,                0.74207,                0.53652,                0.61043,                0.32999,                 1.6986,                  1.409,                 1.4499,              0.0018515,              0.0018515,              0.0018515
                      5,                 1.5085,                 1.0553,                 1.2573,                0.81193,                 0.6034,                0.67554,                0.36708,                 1.6852,                 1.4684,                 1.3845,               0.001802,               0.001802,               0.001802
                      6,                 1.5301,                 1.0742,                 1.2686,                 0.7637,                 0.6034,                0.65912,                 0.3592,                  1.677,                 1.2019,                 1.3817,              0.0017525,              0.0017525,              0.0017525
                      7,                 1.5121,                 1.0413,                 1.2541,                0.84087,                0.62037,                0.69186,                0.36765,                 1.7003,                 1.0941,                  1.351,               0.001703,               0.001703,               0.001703
                      8,                 1.4828,                  1.013,                 1.2472,                 0.7767,                0.61728,                0.66994,                0.37039,                 1.6196,                  1.021,                 1.3482,              0.0016535,              0.0016535,              0.0016535
                      9,                 1.4718,                 0.9912,                 1.2381,                 0.8733,                0.65591,                0.74124,                0.42864,                 1.5149,                0.91072,                 1.2635,               0.001604,               0.001604,               0.001604
                     10,                 1.4457,                0.97266,                 1.2279,                0.85348,                0.66222,                 0.7389,                0.42248,                 1.5527,                0.89824,                 1.2773,              0.0015545,              0.0015545,              0.0015545
                     11,                 1.4506,                0.96999,                 1.2316,                0.82414,                0.64403,                 0.7102,                0.39461,                 1.5938,                 1.0335,                 1.3101,               0.001505,               0.001505,               0.001505
                     12,                 1.4361,                0.95819,                 1.2207,                0.84581,                0.66667,                0.73904,                0.41808,                 1.5434,                0.97248,                 1.3037,              0.0014555,              0.0014555,              0.0014555
                     13,                 1.4178,                 0.9471,                 1.2139,                0.86928,                0.66924,                0.75414,                0.44118,                 1.4818,                0.89202,                  1.256,               0.001406,               0.001406,               0.001406
                     14,                 1.4081,                0.94204,                 1.2092,                0.84817,                0.67815,                0.74443,                 0.4297,                 1.5019,                0.90768,                 1.2714,              0.0013565,              0.0013565,              0.0013565
                     15,                 1.4085,                0.91462,                 1.2069,                0.84303,                0.67961,                0.74489,                 0.4268,                 1.5043,                0.89754,                 1.2654,               0.001307,               0.001307,               0.001307
                     16,                  1.398,                0.92175,                  1.206,                0.86704,                0.68093,                0.76041,                0.45228,                 1.4891,                0.82174,                 1.2414,              0.0012575,              0.0012575,              0.0012575
                     17,                 1.3787,                0.91366,                 1.1998,                 0.8539,                0.66409,                0.74583,                0.43707,                 1.4948,                0.89332,                 1.2525,               0.001208,               0.001208,               0.001208
                     18,                 1.3906,                 0.9081,                 1.1957,                0.85505,                0.70096,                0.77012,                0.45662,                 1.4542,                0.82467,                 1.2301,              0.0011585,              0.0011585,              0.0011585
                     19,                 1.3558,                0.88031,                 1.1836,                0.84028,                0.67438,                0.74951,                0.43111,                 1.4579,                0.85472,                 1.2494,               0.001109,               0.001109,               0.001109
                     20,                 1.3426,                0.87965,                 1.1809,                0.83733,                0.66409,                0.73801,                0.44572,                 1.4377,                0.88859,                 1.2164,              0.0010595,              0.0010595,              0.0010595
                     21,                 1.3239,                0.87337,                 1.1746,                0.85309,                0.70216,                0.76735,                0.45408,                 1.4116,                0.82125,                 1.2191,                0.00101,                0.00101,                0.00101
                     22,                 1.3303,                0.86041,                 1.1743,                 0.8662,                0.71502,                0.77696,                0.47021,                 1.3795,                0.81293,                 1.1945,              0.0009605,              0.0009605,              0.0009605
                     23,                 1.3305,                0.85122,                 1.1752,                 0.8754,                 0.6939,                0.77024,                0.46787,                 1.3926,                0.81995,                 1.1952,               0.000911,               0.000911,               0.000911
                     24,                 1.3131,                0.84305,                 1.1679,                0.87817,                0.70452,                 0.7814,                0.47783,                 1.3539,                0.79911,                  1.184,              0.0008615,              0.0008615,              0.0008615
                     25,                 1.3106,                0.84266,                 1.1666,                0.87226,                0.69239,                 0.7714,                0.48052,                  1.358,                 0.8024,                 1.1992,               0.000812,               0.000812,               0.000812
                     26,                 1.3002,                0.82875,                 1.1635,                0.87612,                0.71039,                0.78353,                0.48628,                 1.3573,                0.74669,                 1.1799,              0.0007625,              0.0007625,              0.0007625
                     27,                    1.3,                0.82429,                 1.1639,                0.86775,                0.71348,                0.78559,                0.48529,                 1.3524,                 0.7602,                 1.1849,               0.000713,               0.000713,               0.000713
                     28,                 1.2991,                  0.819,                 1.1625,                0.88744,                0.71965,                0.79114,                0.49054,                 1.3491,                 0.7398,                  1.173,              0.0006635,              0.0006635,              0.0006635
                     29,                 1.2774,                0.80541,                 1.1558,                0.88271,                0.71142,                0.78731,                0.49001,                 1.3404,                  0.757,                 1.1751,               0.000614,               0.000614,               0.000614
                     30,                 1.2718,                0.79561,                 1.1487,                0.86671,                0.71708,                0.78193,                0.47616,                 1.3676,                0.76768,                 1.1877,              0.0005645,              0.0005645,              0.0005645
                     31,                 1.1964,                0.71389,                 1.1305,                0.87872,                0.71965,                0.79372,                0.49419,                 1.3377,                0.75655,                 1.1677,               0.000515,               0.000515,               0.000515
                     32,                 1.1857,                0.68015,                 1.1215,                0.88903,                0.71705,                0.79581,                0.50118,                 1.3162,                0.72967,                 1.1586,              0.0004655,              0.0004655,              0.0004655
                     33,                  1.158,                0.66093,                 1.1075,                0.88823,                0.72788,                0.79591,                0.50881,                 1.2775,                0.71469,                 1.1486,               0.000416,               0.000416,               0.000416
                     34,                 1.1282,                0.64434,                 1.1006,                0.88296,                0.73971,                0.80185,                0.51598,                 1.2747,                0.69934,                 1.1444,              0.0003665,              0.0003665,              0.0003665
                     35,                 1.1248,                0.62667,                 1.0982,                 0.8858,                0.73714,                0.80625,                0.51901,                 1.2645,                 0.6905,                 1.1418,               0.000317,               0.000317,               0.000317
                     36,                 1.1082,                0.61933,                 1.0906,                0.90352,                0.73224,                0.80725,                0.52148,                 1.2665,                0.68076,                 1.1397,              0.0002675,              0.0002675,              0.0002675
                     37,                 1.1034,                0.61133,                 1.0886,                0.89497,                0.74691,                0.81164,                0.52787,                 1.2431,                0.67497,                 1.1307,               0.000218,               0.000218,               0.000218
                     38,                 1.0884,                0.60116,                 1.0806,                0.89606,                0.74846,                0.81346,                0.52889,                 1.2395,                0.66825,                 1.1291,              0.0001685,              0.0001685,              0.0001685
                     39,                  1.076,                0.58842,                 1.0789,                0.89361,                0.75179,                0.81411,                0.53121,                 1.2378,                0.65521,                 1.1252,               0.000119,               0.000119,               0.000119
                     40,                 1.0705,                0.58556,                 1.0717,                0.89922,                0.74817,                0.81468,                0.53159,                 1.2346,                0.65427,                 1.1268,               6.95e-05,               6.95e-05,               6.95e-05
