                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8533,                 1.8046,                 1.5014,                0.51242,                0.57922,                0.49924,                0.22667,                 1.6532,                 5.3051,                 1.4866,             0.00065248,             0.00065248,             0.00065248
                      2,                  1.653,                 1.2259,                 1.3633,                0.34999,                0.22213,                0.16193,                0.05877,                 2.8315,                  9.224,                 2.8076,              0.0013061,              0.0013061,              0.0013061
                      3,                 1.6459,                 1.1981,                 1.3557,                0.39634,                0.49783,                0.30807,                0.14898,                 1.9687,                 4.0905,                 1.9008,              0.0019465,              0.0019465,              0.0019465
                      4,                 1.6342,                 1.1765,                 1.3539,                0.76425,                0.54475,                0.59583,                0.27752,                 1.9788,                  1.496,                 1.6399,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5862,                 1.1184,                 1.3151,                0.70494,                0.46399,                0.51577,                0.26286,                   1.89,                 1.8812,                 1.6156,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.547,                 1.0715,                 1.2983,                 0.8091,                0.61317,                 0.6834,                0.36465,                 1.6664,                 1.3545,                 1.4442,               0.001901,               0.001901,               0.001901
                      7,                 1.5256,                 1.0453,                 1.2833,                0.79605,                0.65226,                0.70651,                0.39337,                 1.5828,                 1.0689,                  1.353,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4966,                  1.012,                 1.2719,                0.81746,                0.64732,                0.70933,                0.40246,                 1.5386,                 1.0344,                 1.3182,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4821,                0.99846,                 1.2596,                0.83171,                0.66152,                0.71756,                0.39249,                 1.5818,                0.97258,                 1.3499,              0.0018416,              0.0018416,              0.0018416
                     10,                  1.458,                0.97613,                 1.2542,                0.83147,                 0.6573,                0.72529,                0.41877,                 1.5485,                0.97139,                 1.3187,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4452,                0.95496,                 1.2435,                0.83714,                0.66667,                0.73579,                0.41399,                   1.55,                0.93603,                 1.3065,               0.001802,               0.001802,               0.001802
                     12,                 1.4418,                0.94694,                 1.2382,                0.82597,                0.64866,                0.71294,                0.41116,                  1.503,                0.96003,                 1.2913,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.416,                0.93258,                 1.2275,                 0.8507,                0.69464,                0.74897,                0.42468,                 1.5142,                  0.864,                 1.3065,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4033,                0.92412,                 1.2264,                0.83452,                 0.6615,                0.73985,                0.43909,                 1.4449,                 0.9978,                 1.2604,              0.0017426,              0.0017426,              0.0017426
