                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
<<<<<<< HEAD
                      1,                  1.889,                 2.3825,                 1.6433,                0.39884,                0.41158,                 0.3731,                0.15793,                  1.913,                 2.0476,                 1.7093,             0.00047578,             0.00047578,             0.00047578
                      2,                 1.7936,                 1.9003,                 1.5807,                0.47525,                  0.453,                0.41636,                0.19179,                 1.8643,                 1.8326,                   1.64,              0.0007636,              0.0007636,              0.0007636
                      3,                 1.7312,                 1.7609,                 1.5455,                0.56624,                0.48064,                0.49682,                 0.2352,                 1.7648,                 1.6329,                 1.6289,             0.00086278,             0.00086278,             0.00086278
                      4,                 1.6713,                 1.6333,                  1.505,                0.64414,                0.48692,                 0.5276,                0.25766,                 1.7244,                 1.5479,                 1.5974,             0.00058017,             0.00058017,             0.00058017
                      5,                  1.605,                 1.5278,                 1.4702,                0.66278,                0.53166,                0.56785,                0.29208,                 1.6217,                 1.4294,                 1.5279,             0.00029723,             0.00029723,             0.00029723
=======
                      1,                  1.885,                 2.3916,                 1.6471,                0.38278,                0.40341,                0.34809,                0.13744,                 2.0696,                 2.1477,                 1.7438,             0.00047578,             0.00047578,             0.00047578
                      2,                 1.7918,                 1.8995,                  1.585,                0.50067,                0.44846,                0.42063,                0.19882,                 1.8137,                  1.781,                 1.7295,              0.0007636,              0.0007636,              0.0007636
                      3,                 1.7312,                 1.7604,                 1.5589,                0.54955,                0.49526,                0.47931,                0.22663,                 1.7506,                 1.6102,                 1.6548,             0.00086278,             0.00086278,             0.00086278
                      4,                 1.6678,                 1.6281,                 1.5112,                0.62499,                0.48449,                0.52172,                0.25185,                 1.7455,                 1.5885,                 1.6201,             0.00058017,             0.00058017,             0.00058017
                      5,                 1.6097,                 1.5194,                 1.4783,                0.68144,                0.54298,                0.58459,                 0.3028,                 1.6212,                 1.3938,                 1.5403,             0.00029723,             0.00029723,             0.00029723
>>>>>>> 385cf6e364317ec129bc99a007e59af5efde1884
